Report Date:,8/14/20 14:08,,,,
Report User Name:,NV_Mtn_Ecohydro,,,,
Report Computer Name:,FIELD_BOOK1,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.7.6.1,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,real-mckinney_Append_2020-08-13_13-21-37-164.wsl,,,,
Create Date,8/13/20 13:21,,,,
,,,,,
Device Properties,,,,,
Device,Level TROLL 500,,,,
Site,Tahoe,,,,
Device Name,real-mckinney,,,,
Serial Number,458165,,,,
Firmware Version,3.03,,,,
Hardware Version,5,,,,
Device Address,1,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0,,,,
Used Battery,17,,,,
,,,,,
Log Configuration,,,,,
,Log Name,real-mckinney,,,
,Created By,NV_MTN_ECOHYDRO,,,
,Computer Name,ACER1,,,
,Application,WinSitu.exe,,,
,Application Version,5.6.29.3,,,
,Create Date,10/18/2019 12:48:55 PM US Mountain Standard Time,,,
,Log Setup Time Zone,Pacific Daylight Time,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Enabled,,,
,Scheduled Start Time,10/18/2019 1:00:00 PM US Mountain Standard Time,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00,,,
,,,,,
,,,,,
,,,,,
Level Reference Settings At Log Creation,,,,,
,        Level Measurement Mode,Depth,,,
,              Specific Gravity,0.999,,,
,,,,,
,,,,,
Other Log Settings,,,,,
,Depth of Probe:,0.0434736 (ft),,,
,Head Pressure:,0.0188282 (PSI),,,
,Temperature:,15.6651 (C),,,
,,,,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time,Note,,,,
10/18/19 12:49,Used Battery: 17% Used Memory: 6%   User Name: NV_MTN_ECOHYDRO,,,,
6/30/20 15:11,Log Download - Used Battery: 21% Used Memory: 28%   User Name: NV_Mtn_Ecohydro Interval -  Start Time: 10/18/2019 3:00:00 PM Stop Time: 12/31/2019 5:00:00 PM,,,,
8/13/20 13:11,Log Download - Used Battery: 22% Used Memory: 34%   User Name: NV_Mtn_Ecohydro Interval -  Start Time: 12/31/2019 4:45:00 PM,,,,
8/13/20 13:12,Log Download - Used Battery: 22% Used Memory: 34%   User Name: NV_Mtn_Ecohydro,,,,
,,,,,
,,,,,
Log Data:,,,,,
Record Count,28801,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,458165,Pressure/Temp 5 PSIG (3.5m/11.5ft),,
,,,,,
Time Zone: US Mountain Standard Time,,,,,
,,,,,
,,Sensor: Pres(G) 11.5ft                  ,Sensor: Pres(G) 11.5ft                  ,Sensor: Pres(G) 11.5ft                  ,
,Elapsed Time,SN#: 458165                             ,SN#: 458165                             ,SN#: 458165                             ,
Date and Time,Seconds     ,Pressure (PSI)                          ,Temperature (C)                         ,Depth (ft)                              ,
10/18/19 13:00,0,0.144,10.566,0.333,
10/18/19 13:15,900,0.143,8.27,0.33,
10/18/19 13:30,1800,0.141,7.747,0.325,
10/18/19 13:45,2700,0.142,7.563,0.327,
10/18/19 14:00,3600,0.143,7.543,0.33,
10/18/19 14:15,4500,0.141,7.507,0.325,
10/18/19 14:30,5400,0.142,7.549,0.328,
10/18/19 14:45,6300,0.141,7.586,0.326,
10/18/19 15:00,7200,0.142,9.525,0.327,
10/18/19 15:15,8100,0.142,10.912,0.327,
10/18/19 15:30,9000,0.143,9.682,0.33,
10/18/19 15:45,9900,0.143,8.824,0.329,
10/18/19 16:00,10800,0.142,10.343,0.327,
10/18/19 16:15,11700,0.144,10.095,0.331,
10/18/19 16:30,12600,0.143,10.48,0.331,
10/18/19 16:45,13500,0.143,9.981,0.33,
10/18/19 17:00,14400,0.142,8.881,0.329,
10/18/19 17:15,15300,0.143,8.242,0.329,
10/18/19 17:30,16200,0.142,7.819,0.329,
10/18/19 17:45,17100,0.143,7.549,0.329,
10/18/19 18:00,18000,0.142,7.364,0.328,
10/18/19 18:15,18900,0.142,7.25,0.328,
10/18/19 18:30,19800,0.142,7.208,0.328,
10/18/19 18:45,20700,0.141,7.206,0.325,
10/18/19 19:00,21600,0.141,7.132,0.325,
10/18/19 19:15,22500,0.141,7.007,0.327,
10/18/19 19:30,23400,0.142,6.952,0.327,
10/18/19 19:45,24300,0.141,6.877,0.327,
10/18/19 20:00,25200,0.142,6.818,0.328,
10/18/19 20:15,26100,0.141,6.728,0.325,
10/18/19 20:30,27000,0.141,6.6,0.325,
10/18/19 20:45,27900,0.142,6.574,0.328,
10/18/19 21:00,28800,0.141,6.517,0.327,
10/18/19 21:15,29700,0.142,6.458,0.328,
10/18/19 21:30,30600,0.141,6.425,0.326,
10/18/19 21:45,31500,0.141,6.362,0.325,
10/18/19 22:00,32400,0.142,6.328,0.328,
