Report Date:,8/14/20 14:08,,,,
Report User Name:,NV_Mtn_Ecohydro,,,,
Report Computer Name:,FIELD_BOOK1,,,,
Application:,WinSitu.exe,,,,
Application Version:,5.7.6.1,,,,
,,,,,
,,,,,
Log File Properties,,,,,
File Name,miller_Append_2020-08-13_12-37-10-458.wsl,,,,
Create Date,8/13/20 12:37,,,,
,,,,,
Device Properties,,,,,
Device,Level TROLL 500,,,,
Site,Tahoe,,,,
Device Name,miller,,,,
Serial Number,524390,,,,
Firmware Version,3.03,,,,
Hardware Version,5,,,,
Device Address,1,,,,
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,6,,,,
Used Battery,12,,,,
,,,,,
Log Configuration,,,,,
,Log Name,miller,,,
,Created By,NV_MTN_ECOHYDRO,,,
,Computer Name,ACER1,,,
,Application,WinSitu.exe,,,
,Application Version,5.6.29.3,,,
,Create Date,10/18/2019 2:40:00 PM US Mountain Standard Time,,,
,Log Setup Time Zone,Pacific Daylight Time,,,
,Notes Size(bytes),4096,,,
,Overwrite when full,Enabled,,,
,Scheduled Start Time,10/18/2019 3:00:00 PM US Mountain Standard Time,,,
,Scheduled Stop Time,No Stop Time,,,
,Type,Linear,,,
 ,Interval,Days: 0 hrs: 00 mins: 15 secs: 00,,,
,,,,,
,,,,,
,,,,,
Level Reference Settings At Log Creation,,,,,
,        Level Measurement Mode,Depth,,,
,              Specific Gravity,0.999,,,
,,,,,
,,,,,
Other Log Settings,,,,,
,Depth of Probe:,0.0190745 (ft),,,
,Head Pressure:,0.00826102 (PSI),,,
,Temperature:,7.27641 (C),,,
,,,,,
,,,,,
,,,,,
Log Notes:,,,,,
Date and Time,Note,,,,
10/18/19 14:40,Used Battery: 12% Used Memory: 12%   User Name: NV_MTN_ECOHYDRO,,,,
6/30/20 14:34,Log Download - Used Battery: 16% Used Memory: 34%   User Name: NV_Mtn_Ecohydro Interval -  Stop Time: 12/31/2019 5:00:00 PM,,,,
6/30/20 14:42,User Adjusted Time To: 12/31/2019 5:00:00 PM,,,,
12/31/19 17:00,User Adjusted Time To: 12/31/2019 5:00:00 PM,,,,
2/13/20 14:43,Log Download - Used Battery: 16% Used Memory: 40%   User Name: NV_Mtn_Ecohydro,,,,
,,,,,
,,,,,
Log Data:,,,,,
Record Count,28790,,,,
,,,,,
Sensors,1,,,,
,,,,,
 ,1,524390,Pressure/Temp 5 PSIG (3.5m/11.5ft),,
,,,,,
Time Zone: US Mountain Standard Time,,,,,
,,,,,
,,Sensor: Pres(G) 11.5ft                  ,Sensor: Pres(G) 11.5ft                  ,Sensor: Pres(G) 11.5ft                  ,
,Elapsed Time,SN#: 524390                             ,SN#: 524390                             ,SN#: 524390                             ,
Date and Time,Seconds     ,Pressure (PSI)                          ,Temperature (C)                         ,Depth (ft)                              ,
10/18/19 15:00,0,0.05,8.34,0.115,
10/18/19 15:15,900,0.048,7.775,0.11,
10/18/19 15:30,1800,0.05,7.416,0.114,
10/18/19 15:45,2700,0.048,7.107,0.111,
10/18/19 16:00,3600,0.049,6.967,0.114,
10/18/19 16:15,4500,0.049,6.847,0.113,
10/18/19 16:30,5400,0.048,6.753,0.112,
10/18/19 16:45,6300,0.048,6.581,0.112,
10/18/19 17:00,7200,0.048,6.447,0.112,
10/18/19 17:15,8100,0.048,6.358,0.112,
10/18/19 17:30,9000,0.048,6.219,0.11,
10/18/19 17:45,9900,0.049,6.098,0.113,
10/18/19 18:00,10800,0.048,5.974,0.111,
10/18/19 18:15,11700,0.049,5.917,0.113,
10/18/19 18:30,12600,0.049,5.815,0.113,
10/18/19 18:45,13500,0.048,5.801,0.111,
10/18/19 19:00,14400,0.049,5.727,0.112,
10/18/19 19:15,15300,0.049,5.666,0.112,
10/18/19 19:30,16200,0.049,5.531,0.112,
10/18/19 19:45,17100,0.049,5.345,0.113,
10/18/19 20:00,18000,0.05,5.235,0.116,
10/18/19 20:15,18900,0.049,5.087,0.112,
10/18/19 20:30,19800,0.048,4.93,0.112,
10/18/19 20:45,20700,0.05,4.816,0.114,
10/18/19 21:00,21600,0.048,4.709,0.112,
10/18/19 21:15,22500,0.049,4.597,0.114,
10/18/19 21:30,23400,0.048,4.465,0.11,
10/18/19 21:45,24300,0.049,4.332,0.114,
10/18/19 22:00,25200,0.05,4.283,0.114,
10/18/19 22:15,26100,0.05,4.137,0.114,
10/18/19 22:30,27000,0.049,4.078,0.113,
10/18/19 22:45,27900,0.05,4.004,0.116,
10/18/19 23:00,28800,0.05,3.975,0.115,
10/18/19 23:15,29700,0.05,3.941,0.115,
10/18/19 23:30,30600,0.05,3.857,0.116,
10/18/19 23:45,31500,0.05,3.758,0.115,
10/19/19 0:00,32400,0.051,3.697,0.117,
10/19/19 0:15,33300,0.049,3.617,0.113,
